Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Azerbaijan,Asia,10233054,337456,133,4988,1,330873,71,1595,,32977,487,3867916,377983,Europe
Dominican Republic,North America,10959628,334544,,3893,,275595,,55056,319,30525,355,1770735,161569,Americas
Guatemala,North America,18255200,319157,,9721,,280923,,28513,5,17483,533,1670606,91514,Americas
Palestine,Asia,5222794,315224,,3582,,310027,,1615,5,60355,686,1932252,369965,EasternMediterranean
Denmark,Europe,5813179,301126,1055,2539,,290841,286,7746,10,51801,437,72363056,12448104,Europe
Oman,Asia,5239480,287054,982,3472,37,260826,1276,22756,458,54787,663,1550000,295831,EasternMediterranean
Venezuela,South America,28352978,285910,,3302,,268872,,13736,424,10084,116,3359014,118471,Americas
Egypt,Africa,104312241,283212,,16403,,219291,,47518,90,2715,157,3068679,29418,EasternMediterranean
Lithuania,Europe,2683104,279302,86,4401,,268198,47,6703,18,104097,1640,3858809,1438188,Europe
Ireland,Europe,4994415,278464,,5006,,261498,,11960,16,55755,1002,4729538,946965,Europe
Ethiopia,Africa,117877091,277137,,4343,,262022,,10772,121,2351,37,2924982,24814,Africa
Sri Lanka,Asia,21505573,276106,,3533,,246241,,26332,,12839,164,4136675,192354,South-EastAsia
Honduras,North America,10066154,274977,499,7288,29,94540,149,173149,625,27317,724,826298,82087,Americas
Bahrain,Asia,1761927,267324,,1378,,264831,,1115,32,151723,782,5186258,2943515,EasternMediterranean
Slovenia,Europe,2079232,257959,84,4425,,252919,35,615,10,124065,2128,1365790,656872,Europe
Moldova,Europe,4024310,257529,,6211,,250489,,829,64,63993,1543,1314801,326715,Europe
Cuba,North America,11319500,244914,,1579,,208361,,34974,221,21636,139,5590215,493857,Americas
Armenia,Asia,2968941,226597,138,4549,2,217810,79,4238,,76323,1532,1242361,418453,Europe
Qatar,Asia,2807805,223646,142,599,,221549,149,1498,31,79652,213,2233323,795398,EasternMediterranean
Libya,Africa,6967167,209409,2640,3245,2,181572,369,24592,,30057,466,1174471,168572,EasternMediterranean
Bosnia and Herzegovina,Europe,3259793,205181,,9662,,185717,,9802,,62943,2964,1045737,320799,Europe
Myanmar,Asia,54784675,197227,,3927,,148060,,45240,,3600,72,2881246,52592,South-EastAsia
Kenya,Africa,54983999,188942,,3723,,179861,,5358,120,3436,68,2018013,36702,Africa
Zambia,Africa,18910261,176742,,2867,,162239,,11636,962,9346,152,1968443,104094,Africa
S. Korea,Asia,51314587,170296,1150,2046,2,154752,565,13498,146,3319,40,10964299,213668,WesternPacific
Nigeria,Africa,211366891,168713,,2124,,164476,,2113,11,798,10,2362757,11178,Africa
North Macedonia,Europe,2083286,155802,,5487,,150132,,183,,74787,2634,911154,437364,Europe
Algeria,Africa,44662625,146942,,3851,,102010,,41081,39,3290,86,230861,5169,Africa
Kyrgyzstan,Asia,6634562,142270,1292,2123,10,119694,923,20453,102,21444,320,1399147,210888,Europe
Mongolia,Asia,3332427,140530,1246,699,10,111064,3540,28767,192,42170,210,3375690,1012982,WesternPacific
Latvia,Europe,1864695,137970,53,2538,2,134703,30,729,14,73991,1361,3000500,1609110,Europe
Afghanistan,Asia,39825862,136643,754,5921,72,83849,1263,46873,1124,3431,149,664045,16674,EasternMediterranean
Norway,Europe,5464797,133367,,796,,88952,,43619,6,24405,146,6297861,1152442,Europe
Albania,Europe,2874562,132597,,2456,,130052,,89,3,46128,854,838172,291583,Europe
Estonia,Europe,1327453,131562,54,1270,,127936,69,2356,5,99109,957,1563649,1177932,Europe
Uzbekistan,Asia,33966810,116918,497,778,4,112018,504,4122,23,3442,23,1377915,40567,Europe
Namibia,Africa,2588067,106879,,2019,,78579,,26281,107,41297,780,571196,220704,Africa
Montenegro,Europe,628148,100488,,1621,,98550,,317,6,159975,2581,467265,743877,Europe
